longTermAdminCd,longTermAdminNm,adminPttnName,ratingCd,siDoName,siGunGuName,ratingDate,ratingGrade,opRating,safeRating,rightRating,processRating,resultRating
11135000273,길요양원,노인요양시설,2018년 정기평가,서울특별시,노원구,2018-04-02,C,71,86,59,60,89
11135000020,영기노인요양원,노인요양시설,2018년 정기평가,서울특별시,노원구,2018-04-18,C,93,97,95,70,93
11135000268,노원요양복지원,노인요양시설,2018년 정기평가,서울특별시,노원구,2018-05-21,C,70,89,81,73,79
11135000011,시립중계노인전문요양원,노인요양시설,2018년 정기평가,서울특별시,노원구,2018-05-15,A,93,100,100,100,97
11135000188,늘사랑실버센터,노인요양시설,2018년 정기평가,서울특별시,노원구,2018-03-05,B,91,92,100,75,78
11135000016,구립하계실버센터,노인요양시설,2018년 정기평가,서울특별시,노원구,2018-04-16,A,98,92,100,100,94
11135000160,노원효사랑요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,노원구,2018-06-01,D,57,85,40,61,81
11135000355,A+행복한그린요양원,노인요양시설,2018년 정기평가,서울특별시,노원구,2018-08-03,C,60,90,59,72,80
11135000223,서울실버케어노인요양원,노인요양시설,2018년 정기평가,서울특별시,노원구,2018-03-22,E,23,83,38,53,42
11135000216,노원사랑요양원1,노인요양공동생활가정,2018년 정기평가,서울특별시,노원구,2018-04-19,E,67,78,38,75,69
11135000217,노원사랑요양원2,노인요양공동생활가정,2018년 정기평가,서울특별시,노원구,2018-04-19,D,60,74,52,68,56
11135000225,노원사랑요양원3,노인요양공동생활가정,2018년 정기평가,서울특별시,노원구,2018-04-19,C,62,80,75,74,69
11135000227,노원사랑요양원4,노인요양공동생활가정,2018년 정기평가,서울특별시,노원구,2018-04-19,D,58,74,70,63,90
11135000260,너싱홈 돌봄과간호1,노인요양공동생활가정,2018년 정기평가,서울특별시,노원구,2018-07-19,C,76,87,81,58,90
11135000261,너싱홈 돌봄과간호2,노인요양공동생활가정,2018년 정기평가,서울특별시,노원구,2018-07-19,C,66,92,81,60,95
11135000292,수요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,노원구,2018-04-26,E,33,75,45,37,78
11135000372,가온요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,노원구,2018-06-21,C,80,86,63,75,80
11135000333,주사랑노인종합복지센터,노인요양공동생활가정,2018년 정기평가,서울특별시,노원구,2018-03-12,E,23,20,20,0,40
11141000021,중앙소규모요양시설,노인요양시설,2018년 정기평가,서울특별시,서대문구,2018-03-23,D,63,75,52,53,68
11141000098,홍은노인요양시설,노인요양시설,2018년 정기평가,서울특별시,서대문구,2018-06-27,C,93,89,59,100,90
11141000097,서대문노인복지관요양센터,노인요양시설,2018년 정기평가,서울특별시,서대문구,2018-07-16,C,81,100,52,85,89
11141000149,연희시니어스,노인요양시설,2018년 정기평가,서울특별시,서대문구,2018-03-22,C,68,82,72,66,88
11141000023,효림노인요양센터,노인요양시설,2018년 정기평가,서울특별시,서대문구,2018-04-02,A,95,90,100,98,87
11141000073,구립서대문노인전문요양센터,노인요양시설,2018년 정기평가,서울특별시,서대문구,2018-04-02,A,100,97,90,100,79
11141000210,효드림요양원,노인요양시설,2018년 정기평가,서울특별시,서대문구,2018-03-22,C,81,87,63,73,80
11141000133,연궁너싱홈,노인요양공동생활가정,2018년 정기평가,서울특별시,서대문구,2018-07-11,E,48,80,54,44,83
11141000170,중앙실버노인요양공동생활가정,노인요양공동생활가정,2018년 정기평가,서울특별시,서대문구,2018-03-23,E,78,55,34,52,73
11141000191,은혜실버 노인요양공동생활가정,노인요양공동생활가정,2018년 정기평가,서울특별시,서대문구,2018-03-09,D,60,74,81,48,77
11147000013,양천사랑마루,노인요양시설,2018년 정기평가,서울특별시,양천구,2018-03-19,A,86,87,95,94,92
11147000121,신목행복자리어르신요양센터,노인요양시설,2018년 정기평가,서울특별시,양천구,2018-03-09,B,83,95,84,80,95
11147000136,양천어르신종합복지관 병설양천어르신요양센터,노인요양시설,2018년 정기평가,서울특별시,양천구,2018-08-02,B,96,94,100,73,91
11147000322,신월실버요양원,노인요양시설,2018년 정기평가,서울특별시,양천구,2018-04-20,D,65,77,81,52,84
11147000183,구립양천어르신요양센터,노인요양시설,2018년 정기평가,서울특별시,양천구,2018-07-31,A,98,100,100,98,87
11147000005,두엄자리,노인요양시설,2018년 정기평가,서울특별시,양천구,2018-03-05,B,86,83,79,83,77
11147000221,정다운요양원,노인요양시설,2018년 정기평가,서울특별시,양천구,2018-07-25,C,60,81,90,68,50
11147000124,나눔의집,노인요양공동생활가정,2018년 정기평가,서울특별시,양천구,2018-08-24,C,55,78,88,64,90
11147000294,목동조은요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,양천구,2018-03-05,B,92,86,90,91,87
11147000093,나이팅게일 너싱홈,노인요양공동생활가정,2018년 정기평가,서울특별시,양천구,2018-08-03,A,85,90,90,91,97
11147000126,보람의집,노인요양공동생활가정,2018년 정기평가,서울특별시,양천구,2018-08-24,C,64,89,88,66,95
11147000076,신목동 노인복지센터,노인요양공동생활가정,2018년 정기평가,서울특별시,양천구,2018-07-19,E,55,73,54,30,84
11153000215,삼농실버마을,노인요양시설,2018년 정기평가,서울특별시,구로구,2018-08-09,B,96,95,63,96,87
11153000136,효도로 노인전문요양원,노인요양시설,2018년 정기평가,서울특별시,구로구,2018-06-22,C,86,95,100,85,73
11153000208,미소들실버케어센터,노인요양시설,2018년 정기평가,서울특별시,구로구,2018-09-13,A,91,95,100,92,92
11153000210,구로푸른요양원,노인요양시설,2018년 정기평가,서울특별시,구로구,2018-04-20,B,70,89,100,78,65
11153000246,구로 미가 요양원,노인요양시설,2018년 정기평가,서울특별시,구로구,2018-03-06,E,50,85,34,57,81
11153000267,늘봄시니어케어센터,노인요양시설,2018년 정기평가,서울특별시,구로구,2018-05-24,C,76,93,63,69,76
11153000234,휴림실버요양센터,노인요양시설,2018년 정기평가,서울특별시,구로구,2018-03-29,C,70,86,86,68,80
11153000103,행복요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,구로구,2018-07-04,C,75,90,63,75,81
11153000178,행복요양원2,노인요양공동생활가정,2018년 정기평가,서울특별시,구로구,2018-07-04,E,25,59,59,44,81
11153000179,행복요양원3,노인요양공동생활가정,2018년 정기평가,서울특별시,구로구,2018-07-04,E,10,64,40,25,71
11162000277,서울숲요양원,노인요양시설,2018년 정기평가,서울특별시,관악구,2018-04-16,D,60,78,59,57,83
11162000078,미성요양원,노인요양시설,2018년 정기평가,서울특별시,관악구,2018-06-08,C,76,88,63,72,90
11162000113,관악노인종합사회복지관 병설 관악치매전문요양센터,노인요양시설,2018년 정기평가,서울특별시,관악구,2018-03-09,A,98,92,100,92,80
11162000114,한보리노인요양센타,노인요양공동생활가정,2018년 정기평가,서울특별시,관악구,2018-08-06,E,55,70,45,47,85
11162000002,동명노인복지센타,노인요양시설,2018년 정기평가,서울특별시,관악구,2018-04-13,B,91,90,100,84,97
11162000193,강남한보리전문요양원,노인요양시설,2018년 정기평가,서울특별시,관악구,2018-08-06,B,78,90,63,78,90
11162000099,법화노인요양원,노인요양시설,2018년 정기평가,서울특별시,관악구,2018-03-23,E,56,65,45,52,86
11162000253,삼성요양원,노인요양시설,2018년 정기평가,서울특별시,관악구,2018-03-05,D,46,96,45,47,85
11162000189,에덴요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,관악구,2018-03-08,A,85,95,81,96,90
11162000223,인애요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,관악구,2018-07-16,E,48,61,45,22,94
11162000246,가나안요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,관악구,2018-05-28,B,75,95,100,68,76
11162000268,다원요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,관악구,2018-03-06,B,71,100,90,69,89
11162000269,다원요양센터,노인요양공동생활가정,2018년 정기평가,서울특별시,관악구,2018-03-06,C,64,95,90,64,97
11162000247,엔젤요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,관악구,2018-03-13,E,35,73,38,61,88
11165000102,함춘요양원,노인요양시설,2018년 정기평가,서울특별시,서초구,2018-03-20,C,58,88,93,63,57
11165000098,구립서초노인요양센터,노인요양시설,2018년 정기평가,서울특별시,서초구,2018-04-18,A,98,100,100,92,94
11165000081,서초성심노인복지센터,노인요양시설,2018년 정기평가,서울특별시,서초구,2018-07-25,A,78,90,100,97,96
11165000086,장생시니어타운,노인요양시설,2018년 정기평가,서울특별시,서초구,2018-05-15,B,76,89,86,92,79
11165000083,사랑의집,노인요양공동생활가정,2018년 정기평가,서울특별시,서초구,2018-08-07,E,51,63,45,31,93
11171000216,보눔케어요양원,노인요양시설,2018년 정기평가,서울특별시,송파구,2018-03-29,D,55,82,40,75,73
11171000136,시립송파노인전문요양원,노인요양시설,2018년 정기평가,서울특별시,송파구,2018-04-24,A,91,94,100,87,94
11171000016,청암노인요양원,노인요양시설,2018년 정기평가,서울특별시,송파구,2018-08-03,A,98,97,100,91,89
11171000139,송파치매케어센터,노인요양시설,2018년 정기평가,서울특별시,송파구,2018-08-03,C,76,92,81,70,75
11171000140,은빛노인요양공동생활가정4,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-04-05,D,91,73,59,56,87
11171000123,구립송파노인요양센터,노인요양시설,2018년 정기평가,서울특별시,송파구,2018-04-26,A,96,97,100,98,88
11171000116,굿모닝케어노인전문요양원,노인요양시설,2018년 정기평가,서울특별시,송파구,2018-07-04,D,66,93,45,59,80
11171000141,수실버간호센터,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-08-16,A,83,97,100,91,79
11171000144,에덴실버요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-03-13,C,98,84,52,76,93
11171000172,송파그린요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-04-03,D,76,73,77,56,92
11171000191,송파그린요양원2,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-04-03,B,76,88,95,77,89
11171000156,포도나무실버타운1호점,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-06-22,C,55,83,63,62,97
11171000157,포도나무실버타운2호점,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-06-22,E,48,73,54,64,73
11171000175,포도나무실버타운3호점,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-06-22,D,62,85,45,66,94
11171000176,포도나무실버타운4호점,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-06-22,D,83,86,45,65,77
11171000084,은빛노인요양공동생활가정1,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-04-05,D,85,89,63,48,77
11171000085,은빛노인요양공동생활가정2,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-04-05,D,89,91,63,47,92
11171000203,은빛노인요양공동생활가정3,노인요양공동생활가정,2018년 정기평가,서울특별시,송파구,2018-04-05,C,89,73,95,60,82
11144000012,시립서부노인전문요양센터,노인요양시설,2018년 정기평가,서울특별시,마포구,2018-04-18,A,98,100,100,99,89
11144000088,마포노인복지센터,노인요양시설,2018년 정기평가,서울특별시,마포구,2018-10-23,A,86,94,95,92,98
11144000137,설화요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,마포구,2018-10-10,C,78,81,68,76,90
11111000056,인자인케어센터,노인요양시설,2018년 정기평가,서울특별시,종로구,2018-03-22,B,85,87,95,97,85
11111000006,청운노인요양원,노인요양시설,2018년 정기평가,서울특별시,종로구,2018-05-23,B,88,95,63,95,85
11111000087,해피움시니어스타워(종로점),노인요양시설,2018년 정기평가,서울특별시,종로구,2018-05-10,C,73,90,56,71,82
11111000060,평창동시니어센터,노인요양시설,2018년 정기평가,서울특별시,종로구,2018-04-05,C,85,100,100,76,89
11111000076,서울여자간호대학교 휴먼캐슬,노인요양시설,2018년 정기평가,서울특별시,종로구,2018-03-20,A,96,97,100,94,88
11111000068,아름다운뜰안에 요양원,노인요양시설,2018년 정기평가,서울특별시,종로구,2018-08-09,A,91,92,100,98,95
11111000088,아름다운실버홈,노인요양시설,2018년 정기평가,서울특별시,종로구,2018-08-09,C,58,87,77,69,89
11111000033,청운실버센터,노인요양공동생활가정,2018년 정기평가,서울특별시,종로구,2018-08-02,B,75,85,77,80,89
11111000078,세검정실버홈,노인요양시설,2018년 정기평가,서울특별시,종로구,2018-03-06,B,76,95,75,77,88
11117000004,사랑의 집,노인요양공동생활가정,2018년 정기평가,서울특별시,용산구,2018-03-27,E,48,49,27,55,93
11117000092,구립한남노인요양원,노인요양시설,2018년 정기평가,서울특별시,용산구,2018-08-02,C,80,86,54,64,83
11117000054,구립용산노인전문요양원,노인요양시설,2018년 정기평가,서울특별시,용산구,2018-08-17,A,91,95,90,98,98
11120000065,금호노인요양원,노인요양시설,2018년 정기평가,서울특별시,성동구,2018-03-20,D,70,86,59,54,66
11120000010,시립동부노인전문요양센터,노인요양시설,2018년 정기평가,서울특별시,성동구,2018-04-17,A,100,94,100,92,93
11120000093,이암요양원,노인요양시설,2018년 정기평가,서울특별시,성동구,2018-03-19,C,65,87,72,72,97
11120000056,한마음너싱홈,노인요양공동생활가정,2018년 정기평가,서울특별시,성동구,2018-08-16,C,80,90,56,84,88
11120000126,서울숲재활요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,성동구,2018-10-12,C,80,82,63,77,89
11120000110,서울숲 요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,성동구,2018-03-15,C,69,84,77,66,84
11126000322,영지요양원,노인요양시설,2018년 정기평가,서울특별시,중랑구,2018-07-25,E,40,82,52,25,78
11126000111,유린원광노인요양원,노인요양시설,2018년 정기평가,서울특별시,중랑구,2018-10-02,B,90,98,63,76,95
11126000287,상봉요양원요양센터,노인요양시설,2018년 정기평가,서울특별시,중랑구,2018-08-02,C,70,89,63,62,97
11126000113,효원노인복지센터A,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-04-02,D,82,67,65,41,86
11126000271,서울시립중랑노인전문요양원,노인요양시설,2018년 정기평가,서울특별시,중랑구,2018-08-17,B,96,93,63,77,95
11126000011,서울꽃동네신내노인요양원,노인요양시설,2018년 정기평가,서울특별시,중랑구,2018-08-02,A,98,100,100,100,74
11126000112,예원요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-06-15,D,62,82,59,62,90
11126000162,한세노인복지센터,노인요양시설,2018년 정기평가,서울특별시,중랑구,2018-03-06,E,80,68,40,31,88
11126000118,축복재가장기노인요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-03-16,E,21,60,20,47,72
11126000163,베스트그린요양원1호점,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-04-25,C,80,84,63,64,81
11126000164,베스트그린요양원2호점,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-04-25,D,82,83,52,54,86
11126000333,가천요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-03-09,B,89,79,81,83,85
11126000036,로뎀노인요양공동생활가정,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-10-04,B,76,89,90,85,85
11126000253,효심(가)요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-08-07,E,51,84,59,31,72
11126000254,효심(나)요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-08-07,E,69,81,59,35,57
11126000291,효심(다)요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-08-07,E,53,80,45,30,65
11126000292,효심(라)요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-08-07,E,42,72,45,45,80
11126000230,효원노인복지센터B,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-04-02,D,85,67,56,45,84
11126000231,효원노인복지센터C,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-04-02,C,83,85,79,51,86
11126000232,효원노인복지센터D,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-04-02,D,82,85,65,48,91
11126000218,면목요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-07-12,B,85,87,100,83,95
11126000315,우리가족요양원 1호점,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-09-21,E,48,90,52,75,76
11126000316,우리가족요양원 2호점,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-09-21,D,55,87,52,80,94
11126000326,평강요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-05-14,E,78,65,45,42,81
11126000074,동우너싱홈,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-03-12,B,76,85,81,74,95
11126000336,엘림요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-07-04,E,28,72,45,35,74
11126000217,예원요양원 2호점,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-06-15,D,62,80,52,40,95
11126000119,두레노인요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-05-04,E,50,58,40,29,90
11126000191,두레노인요양원B,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-05-04,E,48,53,45,32,72
11126000234,두레노인요양원C,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-05-04,E,39,62,63,35,82
11126000300,카멜리아요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-07-17,D,69,80,40,62,93
11126000284,'(협)효마을 중랑 노인요양공동생활가정,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-05-24,E,50,73,63,45,72
11126000249,사랑과섬김요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,중랑구,2018-07-19,D,62,86,56,41,86
11130500234,봄날북한산요양원,노인요양시설,2018년 정기평가,서울특별시,강북구,2018-04-03,C,78,86,63,67,76
11130500172,강북실버종합복지센터,노인요양시설,2018년 정기평가,서울특별시,강북구,2018-04-04,A,88,92,100,88,92
11130500001,강북노인전문요양원,노인요양시설,2018년 정기평가,서울특별시,강북구,2018-03-29,A,83,97,100,99,96
11130500045,e-포근한 요양원,노인요양시설,2018년 정기평가,서울특별시,강북구,2018-03-09,C,65,88,54,96,94
11130500246,가족사랑요양원,노인요양시설,2018년 정기평가,서울특별시,강북구,2018-05-04,B,80,91,90,75,82
11130500126,푸른요양원1호점,노인요양시설,2018년 정기평가,서울특별시,강북구,2018-04-06,C,55,86,75,80,88
11130500068,민영요양센터,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-09-28,B,98,82,100,76,91
11130500179,민영요양센터2,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-09-28,C,98,79,100,57,81
11130500047,효노인복지센터,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-04-17,E,50,81,40,22,73
11130500229,사랑나눔요양원2,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-07-27,E,57,86,45,39,97
11130500064,참사랑노인요양센터,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-03-15,E,33,82,40,48,88
11130500169,거목실버홈,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-08-06,E,28,78,45,33,71
11130500170,거목요양홈,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-08-06,E,48,76,59,43,89
11130500171,거목노인요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-08-06,E,42,73,45,22,79
11130500219,가온요양원1,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-03-20,E,66,62,34,33,91
11130500220,가온요양원2,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-03-20,E,66,77,34,43,83
11130500248,행복한노인요양원2,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-04-17,E,71,80,59,34,59
11130500250,행복한노인요양원1,노인요양공동생활가정,2018년 정기평가,서울특별시,강북구,2018-04-17,D,75,87,45,54,56
11132000281,참빛요양센터,노인요양시설,2018년 정기평가,서울특별시,도봉구,2018-08-07,C,76,74,63,83,93
11132000337,A+도봉재활요양원,노인요양시설,2018년 정기평가,서울특별시,도봉구,2018-03-19,B,73,100,63,95,90
11132000003,도봉실버센터,노인요양시설,2018년 정기평가,서울특별시,도봉구,2018-06-22,C,81,70,72,75,89
11132000156,행복드림요양원,노인요양시설,2018년 정기평가,서울특별시,도봉구,2018-08-20,B,70,84,100,75,91
11132000339,다사랑요양원,노인요양시설,2018년 정기평가,서울특별시,도봉구,2018-04-18,D,46,87,72,62,83
11132000304,참빛요양원,노인요양시설,2018년 정기평가,서울특별시,도봉구,2018-04-30,D,58,83,56,64,69
11132000257,희망요양원,노인요양시설,2018년 정기평가,서울특별시,도봉구,2018-06-15,D,56,82,63,43,69
11132000216,동그라미요양센터1호점,노인요양공동생활가정,2018년 정기평가,서울특별시,도봉구,2018-03-09,B,67,94,90,96,63
11132000330,love사랑맞이요양원,노인요양시설,2018년 정기평가,서울특별시,도봉구,2018-05-14,B,80,91,95,68,88
11132000345,꿈에그린요양원1,노인요양공동생활가정,2018년 정기평가,서울특별시,도봉구,2018-05-08,C,78,89,72,59,89
11132000346,도봉은빛요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,도봉구,2018-05-08,E,78,92,63,35,73
11132000333,사랑재활요양원,노인요양공동생활가정,2018년 정기평가,서울특별시,도봉구,2018-08-17,C,67,86,59,80,84
11132000340,사랑재활요양원2호점,노인요양공동생활가정,2018년 정기평가,서울특별시,도봉구,2018-08-17,C,60,85,59,70,94
11132000286,가원노인요양공동생활가정1호점,노인요양공동생활가정,2018년 정기평가,서울특별시,도봉구,2018-05-08,B,67,92,100,77,89
11132000289,가원노인요양공동생활가정2호점,노인요양공동생활가정,2018년 정기평가,서울특별시,도봉구,2018-05-08,C,78,84,63,66,92
